City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,kegeyli shahar,42.7767,59.6078,28.05000000000001,25,60,5.09,UZ,2023-06-28
231,bardai,11.65,7.2333,26.57000000000005,57,43,3.9,NG,2023-06-28
232,upata,8.0086,-62.3989,27.879999999999995,51,77,2.04,VE,2023-06-28
233,newman,37.3138,-121.0208,34.450000000000045,16,0,1.5,US,2023-06-28
234,khasab,26.1799,56.2477,33.29000000000002,67,58,1.78,OM,2023-06-28
235,okha,53.5739,142.9478,8.53000000000003,94,100,4.24,RU,2023-06-28
236,tolanaro,-25.0319,46.9987,16.04000000000002,94,0,0.0,MG,2023-06-28
237,lata,40.1629,-8.3327,24.950000000000045,70,0,2.02,PT,2023-06-28
238,san lorenzo de esmeraldas,1.2883,-78.8369,29.200000000000045,70,24,3.58,EC,2023-06-28
239,bafq,31.6128,55.4107,34.450000000000045,11,0,1.33,IR,2023-06-28
240,mossel bay,-34.1831,22.146,11.960000000000036,72,92,2.77,ZA,2023-06-28
241,saint-gregoire,48.15,-1.6833,22.970000000000027,53,0,2.06,FR,2023-06-28
242,banda aceh,5.5577,95.3222,26.80000000000001,79,93,3.69,ID,2023-06-28
243,zaozersk,69.4005,32.4476,8.189999999999998,80,20,4.02,RU,2023-06-28
244,whangarei,-35.7317,174.3239,11.54000000000002,82,5,4.13,NZ,2023-06-28
245,taungoo,18.9333,96.4333,25.010000000000048,92,100,1.46,MM,2023-06-28
246,bac lieu,9.285,105.7244,26.700000000000045,87,94,3.59,VN,2023-06-28
247,robbio,45.2906,8.5911,26.650000000000034,75,72,3.82,IT,2023-06-28
248,san antonio,29.4241,-98.4936,39.58000000000004,34,0,5.66,US,2023-06-28
249,cururupu,-1.8283,-44.8683,28.410000000000025,72,55,1.72,BR,2023-06-28
250,port augusta,-32.5,137.7667,10.460000000000036,83,89,3.59,AU,2023-06-28
251,westport,41.1415,-73.3579,27.939999999999998,75,0,4.12,US,2023-06-28
252,happy valley-goose bay,53.3168,-60.3315,25.170000000000016,61,75,7.72,CA,2023-06-28
253,puerto baquerizo moreno,-0.9,-89.6,28.55000000000001,61,20,6.69,EC,2023-06-28
254,makurazaki,31.2667,130.3167,24.360000000000014,91,100,4.16,JP,2023-06-28
255,greenville,35.6127,-77.3663,31.180000000000007,51,100,0.89,US,2023-06-28
256,nadi,-17.8,177.4167,17.0,88,20,3.09,FJ,2023-06-28
257,portsmouth,50.799,-1.0913,21.53000000000003,88,68,2.24,GB,2023-06-28
258,zakynthos,37.7914,20.8953,25.620000000000005,65,20,1.54,GR,2023-06-28
259,ciudad lazaro cardenas,17.9583,-102.2,31.600000000000023,59,7,5.75,MX,2023-06-28
260,barhi,23.9,80.8,26.510000000000048,83,96,5.76,IN,2023-06-28
261,nova sintra,14.8667,-24.7167,21.220000000000027,80,4,7.23,CV,2023-06-28
262,chernyshevsk,52.5243,117.0174,12.230000000000018,97,100,4.68,RU,2023-06-28
263,almeirim,-1.5233,-52.5817,30.27000000000004,59,82,1.59,BR,2023-06-28
264,kavieng,-2.5744,150.7967,26.360000000000014,80,69,0.78,PG,2023-06-28
265,vallegrande,-18.4897,-64.1069,16.210000000000036,63,50,3.19,BO,2023-06-28
266,panama city beach,30.1766,-85.8055,36.07000000000005,65,40,4.63,US,2023-06-28
267,challapata,-18.9,-66.7667,13.120000000000005,9,0,2.19,BO,2023-06-28
268,ribeira grande,38.5167,-28.7,24.32000000000005,57,20,11.62,PT,2023-06-28
269,california city,35.1258,-117.9859,31.590000000000032,17,0,7.72,US,2023-06-28
270,dunedin,-45.8742,170.5036,9.890000000000043,73,100,9.39,NZ,2023-06-28
271,kasempa,-13.4584,25.8338,17.110000000000014,45,0,2.25,ZM,2023-06-28
272,atar,20.5169,-13.0499,38.879999999999995,9,69,3.4,MR,2023-06-28
273,kingston,17.997,-76.7936,31.53000000000003,58,40,6.17,JM,2023-06-28
274,angaur state,6.906,134.13,28.010000000000048,75,99,1.08,PW,2023-06-28
275,port pirie,-33.1833,138.0167,9.850000000000023,76,95,3.16,AU,2023-06-28
276,morondava,-20.2833,44.2833,20.390000000000043,75,0,3.77,MG,2023-06-28
277,ta`u,-14.2336,-169.5144,26.890000000000043,77,76,0.69,AS,2023-06-28
278,ballycastle,55.2044,-6.243,12.680000000000007,83,8,4.71,GB,2023-06-28
279,arroio dos ratos,-30.0772,-51.7292,13.890000000000043,93,100,2.06,BR,2023-06-28
280,kiunga,-6.1219,141.2906,22.33000000000004,99,100,1.07,PG,2023-06-28
281,bonthe,7.5264,-12.505,25.370000000000005,79,100,4.46,SL,2023-06-28
282,susuman,62.7833,148.1667,18.310000000000002,72,5,1.28,RU,2023-06-28
283,chonchi,-42.6128,-73.8092,9.510000000000048,86,100,1.45,CL,2023-06-28
284,tasqala,51.1167,50.3167,14.610000000000014,68,5,3.86,KZ,2023-06-28
285,antofagasta,-23.65,-70.4,18.600000000000023,67,0,2.25,CL,2023-06-28
286,nar'yan-mar,67.6713,53.087,7.220000000000027,71,100,1.46,RU,2023-06-28
287,ujae,8.9322,165.7642,28.25,78,100,8.64,MH,2023-06-28
288,porto novo,6.4965,2.6036,25.900000000000034,94,100,2.35,BJ,2023-06-28
289,mil'kovo,55.6078,37.7956,17.25,97,100,2.6,RU,2023-06-28
290,alesund,62.4723,6.1549,17.170000000000016,88,100,5.14,NO,2023-06-28
291,caleta de carquin,-11.0925,-77.6267,22.439999999999998,68,4,4.15,PE,2023-06-28
292,batticaloa,7.7102,81.6924,27.310000000000002,74,58,2.6,LK,2023-06-28
293,constantia,44.1833,28.65,15.390000000000043,87,100,5.46,RO,2023-06-28
294,lebu,-37.6167,-73.65,10.590000000000032,75,100,4.65,CL,2023-06-28
295,choix,26.7092,-108.3219,38.68000000000001,29,0,4.41,MX,2023-06-28
296,kirensk,57.7853,108.1119,11.420000000000016,99,100,2.22,RU,2023-06-28
297,rano,11.5491,8.5746,25.25,67,41,2.91,NG,2023-06-28
298,mejit,10.2753,170.8646,27.5,78,100,8.78,MH,2023-06-28
299,fort pierce,27.4467,-80.3256,35.59000000000003,61,40,6.26,US,2023-06-28
300,cooper's town,26.8667,-77.5167,28.25,75,0,4.63,BS,2023-06-28
301,la sarre,48.8002,-79.1996,22.390000000000043,31,0,3.08,CA,2023-06-28
302,port blair,11.6667,92.75,27.02000000000004,94,40,0.51,IN,2023-06-28
303,zavitinsk,50.1167,129.45,18.400000000000034,95,95,2.32,RU,2023-06-28
304,jalai nur,49.45,117.7,10.03000000000003,87,67,1.96,CN,2023-06-28
305,pelabuhanratu,-6.9875,106.5514,25.200000000000045,89,93,2.5,ID,2023-06-28
306,mahaddayweyne,2.9726,45.5347,23.640000000000043,86,54,5.5,SO,2023-06-28
307,uige,-7.6087,15.0613,18.970000000000027,75,2,0.77,AO,2023-06-28
308,champerico,14.3,-91.9167,33.30000000000001,67,42,6.67,GT,2023-06-28
309,port saint john's,-31.6229,29.5448,18.670000000000016,85,42,4.85,ZA,2023-06-28
310,almodovar,37.4959,-8.0937,24.710000000000036,33,0,5.75,PT,2023-06-28
311,bandarbeyla,9.4942,50.8122,24.430000000000007,81,98,14.85,SO,2023-06-28
312,afonso bezerra,-5.4983,-36.5056,28.54000000000002,59,55,8.03,BR,2023-06-28
313,linden,6.0,-58.3,28.710000000000036,77,100,1.73,GY,2023-06-28
314,makoua,0.0069,15.6333,24.57000000000005,80,95,1.44,CG,2023-06-28
315,howrah,22.5892,88.3103,27.0,94,75,2.57,IN,2023-06-28
